alert_id,transaction_id,customer_id,transaction_time,channel,amount,country,merchant_category,fraud_risk_score,risk_level,detected_pattern,device_id,counterparty_id,disposition
FRD00072,TX301348,CUST20488,2026-07-26 20:35:00,Wire,7795.36,United States,Gaming,83,Critical,Unusual Amount,DEV4915,CP12793,Pending
FRD00073,TX301368,CUST20402,2026-07-13 01:08:00,Cash Deposit,7461.88,United States,Luxury,67,High,Unusual Amount,DEV6924,CP14991,Escalated
FRD00074,TX301387,CUST20174,2026-04-20 19:35:00,P2P,2913.7,United Arab Emirates,Travel,71,High,Unusual Amount,DEV4215,CP15727,False Positive
FRD00075,TX301389,CUST20186,2026-09-02 08:20:00,ATM,8490.46,Canada,Travel,62,High,Unusual Amount,DEV3314,CP15335,Pending
FRD00076,TX301457,CUST20241,2026-05-26 08:43:00,Card,35871.11,Brazil,Gaming,100,Critical,Unusual Amount,DEV4864,CP15549,False Positive
FRD00077,TX301509,CUST20232,2026-03-04 23:42:00,Check,27164.59,Canada,Luxury,100,Critical,Unusual Amount,DEV3938,CP13823,False Positive
FRD00078,TX301528,CUST20540,2026-03-28 23:27:00,P2P,709.45,Mexico,Crypto Exchange,63,High,Velocity Spike,DEV3011,CP13711,Pending
FRD00079,TX301532,CUST20462,2026-04-30 05:40:00,P2P,8029.53,United States,Electronics,86,Critical,Rapid Fund Movement,DEV5461,CP10824,False Positive
FRD00080,TX301590,CUST20463,2026-01-05 08:25:00,Card,5276.36,United Kingdom,Gaming,63,High,Velocity Spike,DEV4046,CP12340,False Positive
FRD00081,TX301603,CUST20031,2026-09-09 01:11:00,ACH,5999.89,United Kingdom,Services,70,High,Unusual Amount,DEV7903,CP14260,Confirmed Fraud
FRD00082,TX301639,CUST20397,2026-01-30 18:41:00,Wire,1383.14,United States,Services,61,High,Velocity Spike,DEV1337,CP10850,Confirmed Fraud
FRD00083,TX301649,CUST20352,2026-07-23 05:57:00,Wire,6663.05,Mexico,Gaming,62,High,Geo Anomaly,DEV6092,CP10446,False Positive
FRD00084,TX301651,CUST20233,2026-06-08 16:40:00,Card,41630.88,United States,Luxury,67,High,Unusual Amount,DEV2838,CP15042,Pending
FRD00085,TX301682,CUST20346,2026-06-29 10:18:00,Card,9420.66,India,Crypto Exchange,62,High,Unusual Amount,DEV1150,CP15776,Confirmed Fraud
FRD00086,TX301685,CUST20083,2026-03-16 22:56:00,Wire,3920.15,United States,Crypto Exchange,100,Critical,Velocity Spike,DEV3971,CP12133,False Positive
FRD00087,TX301692,CUST20608,2026-08-14 22:04:00,P2P,9941.76,United Arab Emirates,Services,71,High,Unusual Amount,DEV6133,CP10147,Pending
FRD00088,TX301715,CUST20379,2026-07-16 08:10:00,Card,66345.52,Brazil,Luxury,93,Critical,Unusual Amount,DEV3076,CP10954,Escalated
FRD00089,TX301718,CUST20218,2026-01-28 01:15:00,ACH,1701.09,Canada,Gaming,66,High,Velocity Spike,DEV2729,CP10388,Pending
FRD00090,TX301741,CUST20499,2026-04-20 15:55:00,Wire,8722.34,United States,Luxury,87,Critical,Unusual Amount,DEV4923,CP12597,Pending
FRD00091,TX301760,CUST20208,2026-01-07 15:49:00,ATM,21695.91,United States,Luxury,67,High,Unusual Amount,DEV2404,CP15166,False Positive
FRD00092,TX301765,CUST20544,2026-07-26 12:33:00,Cash Deposit,9345.6,Canada,Travel,65,High,Unusual Amount,DEV5658,CP14904,False Positive
FRD00093,TX301790,CUST20599,2026-01-24 01:18:00,ACH,7761.1,Turkey,Gaming,60,High,Geo Anomaly,DEV7574,CP11954,False Positive
FRD00094,TX301811,CUST20065,2026-08-24 06:30:00,ACH,82716.77,United Arab Emirates,Services,100,Critical,Unusual Amount,DEV2235,CP12874,False Positive
FRD00095,TX301815,CUST20226,2026-07-17 18:38:00,Wire,24113.48,United States,Grocery,60,High,Unusual Amount,DEV5712,CP14384,Escalated
FRD00096,TX301824,CUST20216,2026-01-13 02:07:00,Card,10869.53,Canada,Electronics,66,High,Unusual Amount,DEV6520,CP14351,Pending
FRD00097,TX301834,CUST20240,2026-07-09 10:47:00,Card,5598.57,United States,Luxury,64,High,Unusual Amount,DEV2842,CP12514,Escalated
FRD00098,TX301835,CUST20533,2026-03-02 10:03:00,Wire,19513.9,United States,Gaming,71,High,Unusual Amount,DEV6931,CP12551,Escalated
FRD00099,TX301844,CUST20631,2026-07-19 11:25:00,Cash Deposit,9820.12,India,Electronics,64,High,Unusual Amount,DEV7820,CP13411,Escalated
FRD00100,TX301849,CUST20684,2026-01-24 18:30:00,ACH,4630.78,United States,Travel,69,High,Rapid Fund Movement,DEV5415,CP13043,Escalated
FRD00101,TX301869,CUST20316,2026-04-07 22:09:00,Card,711.13,Canada,Travel,74,High,Account Takeover,DEV1873,CP11131,Escalated
FRD00102,TX301879,CUST20332,2026-01-24 04:00:00,ACH,10784.96,Canada,Crypto Exchange,77,High,Unusual Amount,DEV4787,CP10136,Pending
FRD00103,TX301900,CUST20553,2026-06-13 02:42:00,ATM,20780.31,Mexico,Retail,100,Critical,Unusual Amount,DEV4440,CP12928,False Positive
FRD00104,TX301913,CUST20638,2026-07-19 17:12:00,Wire,17218.13,United States,Grocery,100,Critical,Unusual Amount,DEV3529,CP15258,Escalated
FRD00105,TX301916,CUST20339,2026-06-21 06:20:00,P2P,4550.09,United States,Crypto Exchange,71,High,Unusual Amount,DEV5157,CP14037,Pending
FRD00106,TX301957,CUST20663,2026-02-18 17:53:00,Wire,2816.61,United States,Luxury,63,High,Geo Anomaly,DEV5907,CP14896,Escalated
FRD00107,TX301974,CUST20104,2026-01-05 13:17:00,P2P,13344.93,United States,Retail,63,High,Unusual Amount,DEV1521,CP10795,Escalated
FRD00108,TX301982,CUST20502,2026-03-01 04:18:00,Wire,8552.03,India,Grocery,76,High,Unusual Amount,DEV3977,CP14383,False Positive
FRD00109,TX301993,CUST20339,2026-06-15 03:29:00,Wire,3655.06,Canada,Gaming,82,Critical,Unusual Amount,DEV5693,CP11339,Pending
FRD00110,TX302034,CUST20153,2026-07-21 20:56:00,Cash Deposit,82571.01,Turkey,Grocery,100,Critical,Unusual Amount,DEV6262,CP10259,False Positive
FRD00111,TX302075,CUST20326,2026-03-22 06:00:00,Cash Deposit,9723.89,United States,Travel,94,Critical,Unusual Amount,DEV5149,CP10873,Pending
FRD00112,TX302077,CUST20736,2026-08-01 04:15:00,Card,2597.8,Nigeria,Luxury,100,Critical,Unusual Amount,DEV5998,CP11827,Pending
FRD00113,TX302081,CUST20686,2026-07-12 16:25:00,Wire,1692.69,India,Services,74,High,Rapid Fund Movement,DEV6110,CP13305,Confirmed Fraud
FRD00114,TX302106,CUST20232,2026-05-23 00:22:00,Card,407.33,United States,Services,60,High,Account Takeover,DEV1819,CP12653,Escalated
FRD00115,TX302111,CUST20151,2026-08-16 05:20:00,Wire,6661.55,Turkey,Crypto Exchange,100,Critical,Rapid Fund Movement,DEV4704,CP11348,Pending
FRD00116,TX302122,CUST20270,2026-01-04 01:44:00,Cash Deposit,2347.91,United Arab Emirates,Retail,60,High,Geo Anomaly,DEV3580,CP14053,Pending
FRD00117,TX302125,CUST20283,2026-03-09 20:01:00,Wire,5298.0,United States,Electronics,76,High,Unusual Amount,DEV1998,CP11122,Pending
FRD00118,TX302143,CUST20143,2026-02-04 18:55:00,Card,3960.11,United States,Electronics,60,High,Unusual Amount,DEV1707,CP14632,Pending
FRD00119,TX302181,CUST20161,2026-02-11 16:22:00,ATM,6801.94,United Arab Emirates,Fuel,77,High,Velocity Spike,DEV6251,CP12597,Pending
FRD00120,TX302189,CUST20422,2026-07-17 15:35:00,ACH,41332.21,United States,Travel,62,High,Unusual Amount,DEV5838,CP12777,Escalated
FRD00121,TX302196,CUST20262,2026-07-03 06:17:00,ACH,6922.01,United Kingdom,Services,82,Critical,Unusual Amount,DEV6400,CP13003,Escalated
FRD00122,TX302207,CUST20284,2026-02-21 04:21:00,Wire,4314.9,United Arab Emirates,Services,87,Critical,Geo Anomaly,DEV4773,CP15714,Pending
FRD00123,TX302209,CUST20061,2026-06-16 14:34:00,Wire,5414.83,United States,Luxury,73,High,Unusual Amount,DEV5855,CP12509,False Positive
FRD00124,TX302253,CUST20598,2026-02-14 12:41:00,Wire,5014.34,United States,Retail,76,High,Unusual Amount,DEV5737,CP13161,False Positive
FRD00125,TX302259,CUST20652,2026-04-03 10:28:00,Wire,18065.88,Mexico,Electronics,87,Critical,Unusual Amount,DEV5304,CP10557,False Positive
FRD00126,TX302276,CUST20651,2026-04-15 11:45:00,Cash Deposit,5411.73,Canada,Services,66,High,Unusual Amount,DEV1599,CP13222,False Positive
FRD00127,TX302294,CUST20357,2026-06-05 11:08:00,Wire,3520.82,United States,Fuel,61,High,Rapid Fund Movement,DEV1158,CP13931,Confirmed Fraud
FRD00128,TX302316,CUST20084,2026-02-13 09:02:00,ATM,22155.27,United States,Fuel,100,Critical,Unusual Amount,DEV4851,CP10860,Pending
FRD00129,TX302320,CUST20455,2026-08-25 04:15:00,P2P,1278.94,United Arab Emirates,Retail,70,High,Account Takeover,DEV3030,CP13080,Pending
FRD00130,TX302328,CUST20034,2026-08-24 22:15:00,Check,10083.33,Canada,Luxury,66,High,Unusual Amount,DEV3730,CP11434,Escalated
FRD00131,TX302338,CUST20385,2026-07-09 15:02:00,Card,2866.07,United States,Crypto Exchange,61,High,Unusual Amount,DEV5170,CP15321,False Positive
FRD00132,TX302364,CUST20672,2026-08-26 18:22:00,Wire,223.27,India,Crypto Exchange,64,High,Rapid Fund Movement,DEV4615,CP11474,False Positive
FRD00133,TX302378,CUST20749,2026-01-20 16:22:00,Card,19188.35,Turkey,Crypto Exchange,92,Critical,Unusual Amount,DEV5792,CP15758,False Positive
FRD00134,TX302397,CUST20180,2026-03-29 08:26:00,Wire,5189.93,Canada,Luxury,61,High,Geo Anomaly,DEV4854,CP12121,Escalated
FRD00135,TX302404,CUST20619,2026-03-05 10:33:00,ACH,16025.57,Nigeria,Fuel,62,High,Unusual Amount,DEV6020,CP11111,Confirmed Fraud
FRD00136,TX302413,CUST20735,2026-09-03 18:01:00,P2P,377.9,United States,Gaming,80,Critical,Rapid Fund Movement,DEV4834,CP10401,False Positive
FRD00137,TX302414,CUST20393,2026-06-11 05:22:00,Wire,4545.47,Canada,Fuel,68,High,Unusual Amount,DEV6999,CP13436,False Positive
FRD00138,TX302421,CUST20060,2026-05-13 10:05:00,ACH,6395.38,United Kingdom,Grocery,64,High,Unusual Amount,DEV4276,CP13471,Escalated
FRD00139,TX302424,CUST20648,2026-07-02 02:25:00,Wire,2534.66,United States,Gaming,63,High,Geo Anomaly,DEV2421,CP15301,Pending
FRD00140,TX302434,CUST20559,2026-02-13 10:43:00,Card,1368.96,Nigeria,Travel,60,High,Velocity Spike,DEV7065,CP13192,Pending
FRD00141,TX302503,CUST20386,2026-03-16 11:23:00,P2P,3677.88,United States,Retail,72,High,Account Takeover,DEV7894,CP13023,False Positive
FRD00142,TX302564,CUST20120,2026-01-12 14:11:00,Check,1606.83,United Arab Emirates,Crypto Exchange,77,High,Velocity Spike,DEV4404,CP14169,Escalated
FRD00143,TX302575,CUST20394,2026-02-23 19:04:00,Cash Deposit,12702.28,Turkey,Grocery,64,High,Unusual Amount,DEV1654,CP14349,False Positive
FRD00144,TX302588,CUST20341,2026-08-06 04:32:00,ACH,31256.55,United Arab Emirates,Crypto Exchange,63,High,Unusual Amount,DEV4833,CP10804,Escalated
FRD00145,TX302618,CUST20619,2026-07-25 22:43:00,ATM,4215.38,India,Gaming,64,High,Unusual Amount,DEV5666,CP11329,Escalated
FRD00146,TX302624,CUST20524,2026-04-11 21:09:00,Card,78296.97,Nigeria,Gaming,100,Critical,Unusual Amount,DEV6564,CP14173,False Positive
FRD00147,TX302658,CUST20265,2026-02-02 23:31:00,ACH,6859.33,United States,Luxury,65,High,Unusual Amount,DEV3929,CP12483,Confirmed Fraud
FRD00148,TX302664,CUST20061,2026-08-06 06:56:00,ATM,4056.34,Brazil,Crypto Exchange,77,High,Unusual Amount,DEV4350,CP15598,Pending
FRD00149,TX302688,CUST20521,2026-03-31 16:44:00,Wire,646.75,Canada,Grocery,61,High,Rapid Fund Movement,DEV4720,CP11709,False Positive
FRD00150,TX302707,CUST20276,2026-07-03 16:51:00,Card,10504.13,United States,Luxury,66,High,Unusual Amount,DEV4102,CP13867,False Positive
FRD00151,TX302713,CUST20239,2026-09-03 04:17:00,Card,11488.8,United States,Luxury,84,Critical,Unusual Amount,DEV5546,CP15475,Pending
FRD00152,TX302793,CUST20316,2026-04-13 17:04:00,Wire,1007.0,United States,Gaming,68,High,Rapid Fund Movement,DEV5278,CP15214,Confirmed Fraud
FRD00153,TX302796,CUST20301,2026-06-03 06:56:00,ATM,3146.35,United States,Gaming,60,High,Repeated Counterparty,DEV2940,CP99999,False Positive
FRD00154,TX302815,CUST20151,2026-01-02 22:44:00,ACH,7709.69,United States,Services,100,Critical,Unusual Amount,DEV3811,CP13165,Pending
FRD00155,TX302816,CUST20105,2026-07-31 13:30:00,P2P,1787.31,United Arab Emirates,Electronics,66,High,Geo Anomaly,DEV4933,CP13120,False Positive
FRD00156,TX302819,CUST20371,2026-07-07 10:36:00,Card,6160.25,Nigeria,Retail,65,High,Unusual Amount,DEV3095,CP15400,False Positive
FRD00157,TX302837,CUST20165,2026-07-30 11:28:00,Wire,5996.39,United Arab Emirates,Travel,75,High,Rapid Fund Movement,DEV5807,CP15493,Confirmed Fraud
FRD00158,TX302865,CUST20125,2026-05-03 18:13:00,Card,4151.01,Turkey,Crypto Exchange,88,Critical,Account Takeover,DEV5044,CP15346,Pending
FRD00159,TX302894,CUST20531,2026-03-20 19:43:00,P2P,4076.7,United Arab Emirates,Crypto Exchange,73,High,Geo Anomaly,DEV4909,CP14166,Escalated
FRD00160,TX302925,CUST20050,2026-04-22 17:39:00,Wire,26093.92,Nigeria,Grocery,100,Critical,Unusual Amount,DEV6545,CP12396,Confirmed Fraud
FRD00161,TX302929,CUST20729,2026-06-05 00:43:00,Card,2802.64,Nigeria,Crypto Exchange,68,High,Geo Anomaly,DEV6518,CP14079,Pending
FRD00162,TX302930,CUST20195,2026-03-19 18:10:00,ACH,18595.77,United States,Crypto Exchange,100,Critical,Unusual Amount,DEV7527,CP15455,Pending
FRD00163,TX302937,CUST20223,2026-03-01 11:25:00,Wire,6510.64,United States,Gaming,61,High,Geo Anomaly,DEV3976,CP12269,Pending
FRD00164,TX302938,CUST20509,2026-01-31 00:25:00,Card,6917.69,India,Crypto Exchange,88,Critical,Velocity Spike,DEV1603,CP11147,Escalated
FRD00165,TX302968,CUST20045,2026-07-12 12:20:00,P2P,732.61,United States,Travel,73,High,Rapid Fund Movement,DEV5026,CP11115,False Positive
FRD00166,TX302982,CUST20061,2026-04-15 21:21:00,P2P,1276.74,United States,Gaming,60,High,Geo Anomaly,DEV6980,CP14534,Confirmed Fraud
FRD00167,TX302987,CUST20069,2026-04-23 15:00:00,P2P,8050.9,United States,Fuel,65,High,Unusual Amount,DEV7498,CP10892,False Positive
FRD00168,TX302994,CUST20119,2026-02-13 11:55:00,Card,21686.11,Mexico,Services,100,Critical,Unusual Amount,DEV7832,CP10510,Pending
FRD00169,TX303004,CUST20486,2026-06-30 18:20:00,P2P,2416.72,United States,Crypto Exchange,75,High,Account Takeover,DEV4694,CP10499,False Positive
FRD00170,TX303022,CUST20090,2026-03-20 13:52:00,Card,4136.54,United States,Crypto Exchange,72,High,Repeated Counterparty,DEV5436,CP99999,Confirmed Fraud
FRD00171,TX303039,CUST20314,2026-02-05 08:37:00,Wire,7320.91,Nigeria,Luxury,63,High,Unusual Amount,DEV5724,CP15015,Escalated
FRD00172,TX303043,CUST20721,2026-06-23 20:44:00,P2P,4346.2,Nigeria,Retail,100,Critical,Account Takeover,DEV3440,CP14378,Pending
FRD00173,TX303051,CUST20674,2026-05-13 16:01:00,Card,5590.05,India,Travel,63,High,Unusual Amount,DEV1633,CP15141,Pending
FRD00174,TX303070,CUST20668,2026-05-22 21:33:00,P2P,5672.38,India,Luxury,100,Critical,Velocity Spike,DEV2690,CP12443,Confirmed Fraud
FRD00175,TX303089,CUST20512,2026-09-10 05:41:00,Wire,580.52,United States,Grocery,63,High,Rapid Fund Movement,DEV1688,CP13072,Pending
FRD00176,TX303096,CUST20416,2026-08-29 19:53:00,ACH,36009.03,United States,Gaming,100,Critical,Unusual Amount,DEV1976,CP10313,Confirmed Fraud
FRD00177,TX303114,CUST20481,2026-02-02 02:49:00,P2P,1458.33,United Kingdom,Electronics,77,High,Account Takeover,DEV6553,CP10382,Pending
FRD00178,TX303136,CUST20501,2026-06-15 12:05:00,P2P,6609.65,United Arab Emirates,Luxury,91,Critical,Rapid Fund Movement,DEV1090,CP15631,False Positive
