transaction_id,customer_id,transaction_time,channel,merchant_category,amount,country,device_id,counterparty_id,injected_pattern,expected_monthly_volume,home_country,amount_to_expected_ratio,cross_border_flag,fraud_risk_score,risk_level,flagged,detected_pattern
TX300072,CUST20045,2026-03-16 08:17:00,Card,Crypto Exchange,2010.97,United States,DEV4031,CP14428,Normal,3749.28,Nigeria,0.5363616481031025,1,39,Moderate,0,Behavioral Anomaly
TX300073,CUST20493,2026-04-28 22:57:00,ACH,Travel,1265.81,United States,DEV7051,CP13225,Normal,18683.44,Brazil,0.06775037145193818,1,29,Low,0,Behavioral Anomaly
TX300074,CUST20584,2026-08-24 13:40:00,P2P,Electronics,7166.18,Mexico,DEV6126,CP15549,Normal,10937.47,Nigeria,0.655195397107375,1,57,Moderate,0,Geo Anomaly
TX300075,CUST20582,2026-01-05 13:43:00,Wire,Luxury,280.94,India,DEV6528,CP15465,Normal,5143.86,India,0.054616571990684044,0,20,Low,0,Behavioral Anomaly
TX300076,CUST20203,2026-08-21 03:38:00,Cash Deposit,Gaming,1574.83,United States,DEV7007,CP15629,Normal,4137.14,United States,0.380656685536385,0,21,Low,0,Behavioral Anomaly
TX300077,CUST20319,2026-04-04 20:11:00,Wire,Luxury,738.23,India,DEV6748,CP15422,Normal,41622.05,United Kingdom,0.017736512257325143,1,27,Low,0,Geo Anomaly
TX300078,CUST20140,2026-08-08 08:56:00,Card,Travel,6178.34,United Kingdom,DEV6397,CP15337,Normal,6601.13,United States,0.9359518749062661,1,48,Moderate,0,Behavioral Anomaly
TX300079,CUST20337,2026-04-17 14:26:00,Check,Travel,162.83,Canada,DEV5276,CP12500,Normal,2090.32,United Arab Emirates,0.07789716407057293,1,13,Low,0,Behavioral Anomaly
TX300080,CUST20682,2026-05-07 13:43:00,ACH,Retail,551.77,United States,DEV5019,CP15416,Normal,36113.06,United Kingdom,0.015278960021665292,1,26,Low,0,Behavioral Anomaly
TX300081,CUST20520,2026-06-16 01:09:00,Card,Services,1244.53,Canada,DEV5379,CP12348,Normal,5950.91,United States,0.20913272087798337,1,14,Low,0,Behavioral Anomaly
TX300082,CUST20021,2026-07-12 18:46:00,ACH,Crypto Exchange,10286.58,Nigeria,DEV4594,CP14748,Normal,6429.94,United Arab Emirates,1.5997940882807618,1,72,High,1,Unusual Amount
TX300083,CUST20224,2026-01-18 17:00:00,Card,Travel,2511.53,United States,DEV2692,CP10927,Normal,9051.19,Nigeria,0.2774806406671388,1,11,Low,0,Behavioral Anomaly
TX300084,CUST20561,2026-08-21 03:18:00,ACH,Travel,1188.63,United States,DEV5221,CP11473,Normal,2273.7,United States,0.5227734529621323,0,26,Low,0,Behavioral Anomaly
TX300085,CUST20529,2026-06-24 20:10:00,P2P,Travel,685.37,Canada,DEV5171,CP15614,Normal,51400.76,United States,0.013333849538411494,1,38,Moderate,0,Geo Anomaly
TX300086,CUST20486,2026-08-01 22:08:00,P2P,Travel,573.97,United States,DEV3884,CP10989,Normal,41301.54,Canada,0.013897060497017787,1,34,Moderate,0,Geo Anomaly
TX300087,CUST20013,2026-01-05 08:21:00,ACH,Grocery,1730.14,Nigeria,DEV6173,CP14143,Normal,52617.48,Canada,0.03288146828772492,1,17,Low,0,Behavioral Anomaly
TX300088,CUST20372,2026-01-09 23:42:00,ACH,Luxury,3480.93,United Kingdom,DEV7519,CP15123,Normal,11816.02,Brazil,0.2945941188318909,1,22,Low,0,Behavioral Anomaly
TX300089,CUST20408,2026-02-19 05:16:00,Card,Retail,2652.73,Canada,DEV6718,CP13903,Normal,11255.49,United States,0.23568320881631988,1,21,Low,0,Behavioral Anomaly
TX300090,CUST20420,2026-07-19 17:04:00,ATM,Gaming,527.43,United States,DEV2292,CP14094,Normal,21980.53,United Arab Emirates,0.023995326773285267,1,28,Low,0,Behavioral Anomaly
TX300091,CUST20558,2026-01-09 19:33:00,ATM,Crypto Exchange,5462.77,United Kingdom,DEV3747,CP15804,Normal,11708.23,United States,0.4665752210197443,1,41,Moderate,0,Behavioral Anomaly
TX300092,CUST20099,2026-07-01 02:28:00,P2P,Luxury,1606.38,United States,DEV3072,CP15804,Normal,22233.45,United States,0.07225059538668088,0,34,Moderate,0,Behavioral Anomaly
TX300093,CUST20303,2026-06-30 08:31:00,Wire,Services,2446.25,United States,DEV5049,CP13476,Normal,17115.56,Canada,0.14292550170721846,1,18,Low,0,Geo Anomaly
TX300094,CUST20435,2026-05-30 22:51:00,ACH,Crypto Exchange,22396.32,United Arab Emirates,DEV4893,CP13476,Normal,9656.07,United States,2.3194032354777874,1,56,Moderate,0,Unusual Amount
TX300095,CUST20154,2026-05-31 01:31:00,Check,Crypto Exchange,9071.62,United States,DEV3076,CP12232,Normal,36577.66,Canada,0.24800985082151236,1,32,Moderate,0,Behavioral Anomaly
TX300096,CUST20168,2026-08-19 04:45:00,Cash Deposit,Travel,1756.2,United States,DEV3261,CP14084,Normal,13721.28,United Kingdom,0.1279909746029525,1,17,Low,0,Behavioral Anomaly
TX300097,CUST20729,2026-03-22 07:57:00,Card,Travel,2044.15,Canada,DEV7432,CP13137,Normal,11292.77,United States,0.1810140470407172,1,30,Moderate,0,Behavioral Anomaly
TX300098,CUST20119,2026-05-19 03:19:00,ACH,Services,427.55,United Kingdom,DEV5976,CP12968,Normal,8718.21,India,0.049041030211476905,1,19,Low,0,Behavioral Anomaly
TX300099,CUST20040,2026-03-10 13:39:00,ATM,Luxury,807.27,United States,DEV4605,CP11886,Normal,15000.28,Mexico,0.05381699541608556,1,33,Moderate,0,Behavioral Anomaly
TX300100,CUST20030,2026-08-01 12:37:00,Wire,Grocery,851.76,India,DEV6702,CP10611,Normal,16087.96,India,0.052943940686078286,0,10,Low,0,Behavioral Anomaly
TX300101,CUST20115,2026-07-26 20:12:00,Card,Travel,9944.11,United Kingdom,DEV3276,CP14379,Normal,2778.44,United States,3.5790263601157486,1,53,Moderate,0,Unusual Amount
TX300102,CUST20109,2026-07-29 10:02:00,ACH,Retail,391.8,United States,DEV6615,CP11395,Normal,14837.79,United Arab Emirates,0.02640554961352061,1,21,Low,0,Behavioral Anomaly
TX300103,CUST20151,2026-01-15 04:10:00,P2P,Grocery,2118.43,United States,DEV6065,CP12845,Normal,6048.74,Turkey,0.35022665877521597,1,38,Moderate,0,Geo Anomaly
TX300104,CUST20391,2026-08-06 08:58:00,Card,Gaming,11760.83,India,DEV3122,CP11044,Normal,36409.3,United States,0.32301719615592717,1,36,Moderate,0,Behavioral Anomaly
TX300105,CUST20663,2026-05-21 09:24:00,ATM,Luxury,1475.84,Mexico,DEV4495,CP10975,Normal,4111.43,Mexico,0.35896026443354256,0,22,Low,0,Behavioral Anomaly
TX300106,CUST20035,2026-08-31 22:00:00,ATM,Services,617.48,United Kingdom,DEV1797,CP14364,Normal,2527.93,United States,0.24426309272804234,1,22,Low,0,Behavioral Anomaly
TX300107,CUST20332,2026-02-13 13:52:00,Wire,Grocery,1694.02,India,DEV6896,CP13731,Normal,6618.7,United States,0.2559445208273528,1,18,Low,0,Geo Anomaly
TX300108,CUST20694,2026-07-31 01:45:00,ACH,Services,26930.24,United States,DEV5099,CP10497,Normal,14054.86,Mexico,1.916080274011979,1,60,High,1,Unusual Amount
TX300109,CUST20217,2026-06-26 23:27:00,ACH,Services,1029.17,United States,DEV4808,CP12547,Normal,4053.32,United States,0.2539079075918013,0,22,Low,0,Behavioral Anomaly
TX300110,CUST20269,2026-08-14 00:15:00,P2P,Services,4998.27,Brazil,DEV1409,CP15274,Normal,19947.04,Brazil,0.25057702797006476,0,10,Low,0,Behavioral Anomaly
TX300111,CUST20209,2026-04-18 12:30:00,P2P,Grocery,2327.75,United States,DEV1869,CP13016,Normal,26981.17,United Kingdom,0.08627313048322219,1,28,Low,0,Geo Anomaly
TX300112,CUST20249,2026-06-07 13:14:00,Card,Electronics,2109.51,United States,DEV1988,CP14732,Normal,16679.16,Canada,0.12647579374500875,1,32,Moderate,0,Behavioral Anomaly
TX300113,CUST20509,2026-09-07 12:32:00,Wire,Electronics,4974.37,United Arab Emirates,DEV7487,CP14824,Normal,8271.28,United Kingdom,0.6014026849532357,1,54,Moderate,0,Geo Anomaly
TX300114,CUST20693,2026-02-06 06:35:00,P2P,Fuel,873.02,Mexico,DEV7531,CP10359,Normal,15546.41,United Arab Emirates,0.056155729843738844,1,24,Low,0,Geo Anomaly
TX300115,CUST20059,2026-07-26 10:14:00,Card,Fuel,355.23,Brazil,DEV2542,CP15841,Normal,21437.14,United States,0.01657077389987657,1,14,Low,0,Behavioral Anomaly
TX300116,CUST20584,2026-03-17 13:17:00,ACH,Crypto Exchange,849.52,United Kingdom,DEV1692,CP14953,Normal,10937.47,Nigeria,0.07767061303939576,1,36,Moderate,0,Behavioral Anomaly
TX300117,CUST20144,2026-01-29 02:01:00,Card,Fuel,88.42,United States,DEV7274,CP10940,Normal,6814.57,United States,0.012975140030845675,0,21,Low,0,Behavioral Anomaly
TX300118,CUST20118,2026-02-24 06:11:00,ACH,Grocery,548.35,India,DEV5004,CP10099,Normal,12665.49,United States,0.04329481133378969,1,25,Low,0,Behavioral Anomaly
TX300119,CUST20015,2026-09-07 04:14:00,P2P,Grocery,3734.91,Canada,DEV6698,CP12139,Normal,26627.13,United Kingdom,0.14026708849207556,1,33,Moderate,0,Geo Anomaly
TX300120,CUST20197,2026-04-23 21:38:00,Cash Deposit,Travel,847.07,Mexico,DEV1121,CP15071,Normal,17479.72,United States,0.048460158400706645,1,14,Low,0,Behavioral Anomaly
TX300121,CUST20622,2026-02-09 23:11:00,P2P,Grocery,1201.93,United States,DEV5852,CP13195,Normal,6996.86,India,0.171781341916231,1,29,Low,0,Geo Anomaly
TX300122,CUST20033,2026-02-18 23:38:00,P2P,Gaming,3005.46,United States,DEV2372,CP11239,Normal,5423.5,United States,0.5541550659168434,0,47,Moderate,0,Behavioral Anomaly
TX300123,CUST20433,2026-03-09 09:50:00,Card,Retail,281.84,United States,DEV3752,CP14529,Normal,41716.47,United States,0.006756084587214594,0,21,Low,0,Behavioral Anomaly
TX300124,CUST20648,2026-08-21 05:31:00,P2P,Fuel,18627.18,United States,DEV1816,CP15327,Normal,4886.07,United Kingdom,3.812303139332838,1,65,High,1,Unusual Amount
TX300125,CUST20198,2026-07-13 14:35:00,Check,Services,9720.14,United Kingdom,DEV1087,CP12741,Normal,18635.88,United States,0.5215820234944633,1,38,Moderate,0,Behavioral Anomaly
TX300126,CUST20048,2026-07-15 11:51:00,P2P,Gaming,405.74,Canada,DEV4109,CP12201,Normal,5080.81,Brazil,0.07985734558072433,1,27,Low,0,Geo Anomaly
TX300127,CUST20476,2026-04-30 20:02:00,P2P,Retail,872.09,United Kingdom,DEV3793,CP12037,Normal,94527.38,Mexico,0.009225792569306375,1,18,Low,0,Geo Anomaly
TX300128,CUST20296,2026-06-13 15:28:00,Card,Gaming,4938.58,Brazil,DEV7681,CP13740,Normal,9536.71,United States,0.5178494470315235,1,43,Moderate,0,Behavioral Anomaly
TX300129,CUST20549,2026-08-19 05:59:00,Card,Travel,2831.21,Nigeria,DEV2796,CP10774,Velocity Spike,2796.34,India,1.0124698713318123,1,95,Critical,1,Velocity Spike
TX300130,CUST20427,2026-04-07 06:46:00,Card,Services,4947.14,United States,DEV4471,CP11218,Normal,5438.18,United States,0.9097050851571665,0,37,Moderate,0,Behavioral Anomaly
TX300131,CUST20217,2026-01-21 00:05:00,Card,Grocery,3750.86,United States,DEV3303,CP10975,Normal,4053.32,United States,0.9253796887489761,0,41,Moderate,0,Behavioral Anomaly
TX300132,CUST20734,2026-05-04 21:33:00,ACH,Travel,7873.16,United States,DEV2767,CP12679,Normal,13214.07,United Kingdom,0.5958164290033275,1,50,Moderate,0,Behavioral Anomaly
TX300133,CUST20706,2026-04-10 16:30:00,Card,Gaming,909.81,United States,DEV5333,CP11929,Normal,7922.71,United States,0.11483570646912482,0,13,Low,0,Behavioral Anomaly
TX300134,CUST20451,2026-08-14 18:30:00,ACH,Travel,1774.91,Nigeria,DEV6437,CP10037,Normal,27268.68,United Arab Emirates,0.06508969264372166,1,15,Low,0,Behavioral Anomaly
TX300135,CUST20612,2026-01-20 01:11:00,P2P,Travel,305.49,United States,DEV2824,CP11142,Normal,8950.11,United States,0.03413254138775948,0,13,Low,0,Behavioral Anomaly
TX300136,CUST20627,2026-08-21 09:18:00,Cash Deposit,Retail,4850.75,United States,DEV7910,CP12118,Normal,5282.36,United States,0.9182922027275688,0,29,Low,0,Behavioral Anomaly
TX300137,CUST20710,2026-07-10 07:54:00,Cash Deposit,Travel,3963.17,India,DEV3403,CP15274,Normal,12627.03,United States,0.3138639886022287,1,28,Low,0,Behavioral Anomaly
TX300138,CUST20294,2026-08-21 17:53:00,Check,Fuel,1678.18,Nigeria,DEV4848,CP14910,Normal,22571.64,United Kingdom,0.07434905040130005,1,20,Low,0,Behavioral Anomaly
TX300139,CUST20698,2026-06-15 09:55:00,Cash Deposit,Luxury,1961.03,Mexico,DEV7694,CP10954,Normal,9643.76,United States,0.2033470347665226,1,21,Low,0,Behavioral Anomaly
TX300140,CUST20609,2026-03-10 23:08:00,Wire,Services,7859.86,United Kingdom,DEV1823,CP14342,Normal,25072.43,Canada,0.3134861678744342,1,22,Low,0,Geo Anomaly
TX300141,CUST20369,2026-02-10 17:50:00,Cash Deposit,Luxury,2154.66,Nigeria,DEV6683,CP11159,Normal,6578.8,Turkey,0.32751565635070223,1,21,Low,0,Behavioral Anomaly
TX300142,CUST20016,2026-08-20 22:57:00,Cash Deposit,Gaming,2652.88,United States,DEV1378,CP13657,Normal,8982.08,United States,0.29535252413694824,0,20,Low,0,Behavioral Anomaly
TX300143,CUST20311,2026-04-10 10:58:00,Card,Travel,591.44,United States,DEV1899,CP15362,Normal,23843.51,United States,0.024805072743065096,0,23,Low,0,Behavioral Anomaly
